,Data,Cidade,CodigoDaCidade,Regiao,Pais,Latitude,Longigute,TemperaturaMaxima,TemperaturaMinima,TemperaturaMedia,ChanceDeChuva,CondicaoDoTempo,NascerDoSol,PorDoSol,VelocidadeMaximaDoVento
10,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-23.4339, -23.4339, -23.4339, -23.4339, -23.4339]","[-45.0711, -45.0711, -45.0711, -45.0711, -45.0711]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.0, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[0, 0, 0, 0, 0]","['nublado', 'nublado', 'nublado', 'nublado', 'nublado']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[6.372, 6.732, 4.644, 6.408, 7.74]"
11,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-23.4339, -23.4339, -23.4339, -23.4339, -23.4339]","[-45.0711, -45.0711, -45.0711, -45.0711, -45.0711]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.0, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[0, 0, 0, 0, 0]","['nublado', 'nublado', 'nublado', 'nublado', 'nublado']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[6.372, 6.732, 4.644, 6.408, 7.74]"
12,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-23.4339, -23.4339, -23.4339, -23.4339, -23.4339]","[-45.0711, -45.0711, -45.0711, -45.0711, -45.0711]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.0, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[0, 0, 0, 0, 0]","['nublado', 'nublado', 'nublado', 'nublado', 'nublado']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[6.372, 6.732, 4.644, 6.408, 7.74]"
13,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-23.4339, -23.4339, -23.4339, -23.4339, -23.4339]","[-45.0711, -45.0711, -45.0711, -45.0711, -45.0711]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.0, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[0, 0, 0, 0, 0]","['nublado', 'nublado', 'nublado', 'nublado', 'nublado']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[6.372, 6.732, 4.644, 6.408, 7.74]"
14,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-23.4339, -23.4339, -23.4339, -23.4339, -23.4339]","[-45.0711, -45.0711, -45.0711, -45.0711, -45.0711]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.0, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[0, 0, 0, 0, 0]","['nublado', 'nublado', 'nublado', 'nublado', 'nublado']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[6.372, 6.732, 4.644, 6.408, 7.74]"
15,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-23.4339, -23.4339, -23.4339, -23.4339, -23.4339]","[-45.0711, -45.0711, -45.0711, -45.0711, -45.0711]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.0, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[0, 0, 0, 0, 0]","['nublado', 'nublado', 'nublado', 'nublado', 'nublado']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[6.372, 6.732, 4.644, 6.408, 7.74]"
16,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-23.4339, -23.4339, -23.4339, -23.4339, -23.4339]","[-45.0711, -45.0711, -45.0711, -45.0711, -45.0711]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.0, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[0, 0, 0, 0, 0]","['nublado', 'nublado', 'nublado', 'nublado', 'nublado']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[6.372, 6.732, 4.644, 6.408, 7.74]"
17,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-23.4339, -23.4339, -23.4339, -23.4339, -23.4339]","[-45.0711, -45.0711, -45.0711, -45.0711, -45.0711]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.0, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[0, 0, 0, 0, 0]","['nublado', 'nublado', 'nublado', 'nublado', 'nublado']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[6.372, 6.732, 4.644, 6.408, 7.74]"
18,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-23.4339, -23.4339, -23.4339, -23.4339, -23.4339]","[-45.0711, -45.0711, -45.0711, -45.0711, -45.0711]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.0, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[0, 0, 0, 0, 0]","['nublado', 'nublado', 'nublado', 'nublado', 'nublado']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[6.372, 6.732, 4.644, 6.408, 7.74]"
19,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-23.4339, -23.4339, -23.4339, -23.4339, -23.4339]","[-45.0711, -45.0711, -45.0711, -45.0711, -45.0711]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.0, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[0, 0, 0, 0, 0]","['nublado', 'nublado', 'nublado', 'nublado', 'nublado']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[6.372, 6.732, 4.644, 6.408, 7.74]"
20,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-23.4339, -23.4339, -23.4339, -23.4339, -23.4339]","[-45.0711, -45.0711, -45.0711, -45.0711, -45.0711]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.0, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[0, 0, 0, 0, 0]","['nublado', 'nublado', 'nublado', 'nublado', 'nublado']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[6.372, 6.732, 4.644, 6.408, 7.74]"
21,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-23.4339, -23.4339, -23.4339, -23.4339, -23.4339]","[-45.0711, -45.0711, -45.0711, -45.0711, -45.0711]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.0, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[0, 0, 0, 0, 0]","['nublado', 'nublado', 'nublado', 'nublado', 'nublado']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[6.372, 6.732, 4.644, 6.408, 7.74]"
22,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-23.4339, -23.4339, -23.4339, -23.4339, -23.4339]","[-45.0711, -45.0711, -45.0711, -45.0711, -45.0711]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.0, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[0, 0, 0, 0, 0]","['nublado', 'nublado', 'nublado', 'nublado', 'nublado']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[6.372, 6.732, 4.644, 6.408, 7.74]"
23,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-23.4339, -23.4339, -23.4339, -23.4339, -23.4339]","[-45.0711, -45.0711, -45.0711, -45.0711, -45.0711]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.0, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[0, 0, 0, 0, 0]","['nublado', 'nublado', 'nublado', 'nublado', 'nublado']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[6.372, 6.732, 4.644, 6.408, 7.74]"
24,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-23.4339, -23.4339, -23.4339, -23.4339, -23.4339]","[-45.0711, -45.0711, -45.0711, -45.0711, -45.0711]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.0, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[0, 0, 0, 0, 0]","['nublado', 'nublado', 'nublado', 'nublado', 'nublado']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[6.372, 6.732, 4.644, 6.408, 7.74]"
25,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-23.4339, -23.4339, -23.4339, -23.4339, -23.4339]","[-45.0711, -45.0711, -45.0711, -45.0711, -45.0711]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.0, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[0, 0, 0, 0, 0]","['nublado', 'nublado', 'nublado', 'nublado', 'nublado']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[6.372, 6.732, 4.644, 6.408, 7.74]"
26,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-23.4339, -23.4339, -23.4339, -23.4339, -23.4339]","[-45.0711, -45.0711, -45.0711, -45.0711, -45.0711]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.0, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[0, 0, 0, 0, 0]","['nublado', 'nublado', 'nublado', 'nublado', 'nublado']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[6.372, 6.732, 4.644, 6.408, 7.74]"
